时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2020-3-16,ENWISE,https://www.itjuzi.com/company/35015441,教育,天使轮,数千万美元,Invus,9.75亿人民币,教育,儿童早教,家庭教育
2020-3-12,Paper,https://www.itjuzi.com/company/36071569,教育,B轮,750万美元,Reach Capital（领投）Google谷歌Real VenturesBDC CapitalBirchmere VenturesBullpen CapitalEdovate CapitalRed House EducationAnges Quebec...,2.44亿人民币,教育,教育信息化,学校/院校
2020-3-12,Lingumi,https://www.itjuzi.com/company/53372,教育,A轮,400万英镑,北高峰资本（领投）LocalGlobeEntrepreneur FirstADV...,1.76亿人民币,教育,儿童早教,语言学习
2020-3-11,竞创教育,https://www.itjuzi.com/company/36060929,教育,天使轮,1000万人民币,禧筠资本,5000万人民币,教育,教育信息化,STEAM
2020-3-11,代码星球,https://www.itjuzi.com/company/33069035,教育,天使轮,未透露,未透露,500万人民币,教育,素质教育,少儿编程
2020-3-10,Coursedog,https://www.itjuzi.com/company/36059068,教育,A轮,420万美元,First Round Capital（领投）Josh Kopelman（领投）,1.36亿人民币,教育,教育信息化,大学教育
2020-3-10,Zookal,https://www.itjuzi.com/company/33233992,教育,B轮,1500万其他,Koh Boon Hwee（领投）Bernard Sabrier（领投）Wee Hur Holdings,7500万人民币,教育,高等教育,数字化教辅教材
2020-3-9,入行职场,https://www.itjuzi.com/company/36047158,教育,天使轮,100万人民币,北塔资本,500万人民币,教育,职业培训,大学教育
2020-3-9,101名师工厂,https://www.itjuzi.com/company/34035510,教育,天使轮,数百万人民币,蓝象资本,1000万人民币,教育,职业培训,短视频
2020-3-6,光计划科技,https://www.itjuzi.com/company/34346612,教育,B轮,未透露,青松基金,1.5亿人民币,教育,教育信息化,教育直播
2020-3-4,Le Wagon,https://www.itjuzi.com/company/36017292,教育,A轮,1900万美元,Cathay Capital（领投）AfricInvest,6.17亿人民币,教育,素质教育,
2020-3-3,Microverse,https://www.itjuzi.com/company/36010056,教育,种子轮,350万美元,General Catalyst PartnersY Combinator,1.14亿人民币,教育,教育信息化,学校/院校
2020-3-2,逗号教育,https://www.itjuzi.com/company/35019109,教育,天使轮,未透露,创客总部,500万人民币,教育,教辅设备,数字化教辅教材
2020-3-2,乔斯少儿编程,https://www.itjuzi.com/company/35021153,教育,天使轮,未透露,蓝象资本,500万人民币,教育,高等教育,少儿编程
